Имя пользователя: WSM03-ICASU-56\Администратор	
Дата проведения проверки: 01.08.2019 16:58:29	
	
Номер Политики;Путь;Эталонное Значение;Текущее Значение;Статус;	
5_036;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer\DisallowRun:2;powershell.exe;Параметр отсутствует;Не успех;	
5_036;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer\DisallowRun:3;notepad.exe;Параметр отсутствует;Не успех;	
5_036;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer\DisallowRun:4;wordpad.exe;Параметр отсутствует;Не успех;	
5_037;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System:DisableRegistryTools;2;Параметр отсутствует;Не успех;	
5_038;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System:DisableTaskMgr;1;Параметр отсутствует;Не успех;	
5_039;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System:DisableLockWorkstation;1;Параметр отсутствует;Не успех;	
5_040;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System:DisableChangePassword;1;Параметр отсутствует;Не успех;	
5_041;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer:NoCommonGroups;1;0;Не успех;	
5_042;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer:NoWindowsUpdate;1;0;Не успех;	
5_043;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer:NoUserFolderInStartMenu;1;0;Не успех;	
5_044;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer:NoFavoritesMenu;1;0;Не успех;	
5_045;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer:NoStartMenuMyGames;1;0;Не успех;	
5_046;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer:NoStartMenuMFUprogramsList;1;0;Не успех;	
5_047;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer:NoSMHelp;1;0;Не успех;	
5_048;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer:NoStartMenuMorePrograms;0;0;Успех;	
5_049;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer:NoStartMenuPinnedList;1;0;Не успех;	
5_050;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer:NoRecentDocsMenu;1;0;Не успех;	
5_051;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer:NoSMMyDocs;1;0;Не успех;	
5_052;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer:NoStartMenuMyMusic;1;0;Не успех;	
5_053;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer:NoStartMenuNetworkPlaces;1;0;Не успех;	
5_054;HKEY_CURRENT_USER\SOFTWARE\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer:NoSMConfigurePrograms;1;Параметр отсутствует;Не успех;	
5_055;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer:NoSMMyPictures;1;0;Не успех;	
5_056;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer:NoSearchCommInStartMenu;1;0;Не успех;	
5_057;;;;Параметр отсутствует в ОС;	
5_058;HKEY_CURRENT_USER\SOFTWARE\Policies\Microsoft\Windows\Explorer:NoSearchEverywhereLinkInStartMenu;1;Параметр отсутствует;Не успех;	
5_059;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer:NoSearchFilesInStartMenu;1;0;Не успех;	
5_060;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer:NoSearchInternetInStartMenu;1;0;Не успех;	
5_061;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer:NoSearchProgramsInStartMenu;1;0;Не успех;	
5_062;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer:NoSetTaskbar;1;0;Не успех;	
5_063;HKEY_CURRENT_USER\SOFTWARE\Policies\Microsoft\Windows\Explorer:NoStartMenuDownloads;1;Параметр отсутствует;Не успех;	
5_064;HKEY_CURRENT_USER\SOFTWARE\Policies\Microsoft\Windows\Explorer:NoStartMenuHomegroup;1;Параметр отсутствует;Не успех;	
5_065;HKEY_CURRENT_USER\SOFTWARE\Policies\Microsoft\Windows\Explorer:NoStartMenuRecordedTV;1;Параметр отсутствует;Не успех;	
5_066;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer:NoStartMenuSubFolders;1;0;Не успех;	
5_067;HKEY_CURRENT_USER\SOFTWARE\Policies\Microsoft\Windows\Explorer:NoStartMenuVideos;1;Параметр отсутствует;Не успех;	
5_068;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer:NoTrayItemsDisplay;1;0;Не успех;	
5_069;HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer:QuickLaunchEnabled;1;0;Не успех;	
5_070;;;;Параметр отсутствует в ОС;	
